weather_station,for_date,for_hour,rain
wardha/deoli/bhidi,2023-06-21,20,0.0
wardha/deoli/bhidi,2023-06-21,21,0.0
wardha/deoli/bhidi,2023-06-21,22,0.0
wardha/deoli/bhidi,2023-06-21,23,0.0
wardha/deoli/bhidi,2023-06-22,0,0.0
wardha/deoli/bhidi,2023-06-22,1,0.0
wardha/deoli/bhidi,2023-06-22,2,0.0
wardha/deoli/bhidi,2023-06-22,3,0.0
wardha/deoli/bhidi,2023-06-22,4,0.0
wardha/deoli/bhidi,2023-06-22,5,0.0
wardha/deoli/bhidi,2023-06-22,6,0.0
wardha/deoli/bhidi,2023-06-22,7,0.0
wardha/deoli/bhidi,2023-06-22,8,0.0
wardha/deoli/bhidi,2023-06-22,9,0.0
wardha/deoli/bhidi,2023-06-22,10,0.0
wardha/deoli/bhidi,2023-06-22,11,0.0
wardha/deoli/bhidi,2023-06-22,12,0.0
wardha/deoli/bhidi,2023-06-22,13,0.0
wardha/deoli/bhidi,2023-06-22,14,0.0
wardha/deoli/bhidi,2023-06-22,15,0.0
wardha/deoli/bhidi,2023-06-22,16,0.0
wardha/deoli/bhidi,2023-06-22,17,0.0
wardha/deoli/bhidi,2023-06-22,18,0.0
wardha/deoli/bhidi,2023-06-22,19,0.0
wardha/deoli/bhidi,2023-06-22,20,0.0
wardha/deoli/bhidi,2023-06-22,21,0.0
wardha/deoli/bhidi,2023-06-22,22,0.0
wardha/deoli/bhidi,2023-06-22,23,0.0
wardha/deoli/bhidi,2023-06-23,0,0.0
wardha/deoli/bhidi,2023-06-23,1,0.0
wardha/deoli/bhidi,2023-06-23,2,0.0
wardha/deoli/bhidi,2023-06-23,3,0.0
wardha/deoli/bhidi,2023-06-23,4,0.0
